permission_id,user_id,resource,can_read,can_write,can_delete,can_admin,granted_date,expires_date
P00060,U046,exports,false,false,false,false,2024-05-17,2025-08-22
P00061,U088,api_keys,false,false,false,false,2024-03-18,2025-07-10
P00062,U038,data,false,false,false,false,2023-03-29,2026-09-26
P00063,U092,reports,true,true,false,false,2023-06-07,2026-01-25
P00064,U014,departments,false,false,false,false,2023-11-21,2026-01-05
P00065,U014,reports,true,true,false,false,2024-01-04,2025-10-04
P00066,U072,exports,true,true,false,false,2024-04-04,2026-07-25
P00067,U012,logs,false,false,false,false,2023-04-16,2025-01-27
P00068,U053,billing,true,true,false,false,2023-01-13,2025-10-26
P00069,U035,settings,true,true,true,false,2023-06-23,2025-05-23
P00070,U009,reports,false,false,false,false,2024-05-19,2025-05-30
P00071,U039,analytics,false,false,false,false,2023-10-10,2026-03-08
P00072,U064,api_keys,true,true,false,false,2023-09-10,2026-10-03
P00073,U039,users,true,false,false,false,2023-04-20,2025-05-19
P00074,U049,logs,false,false,false,false,2023-12-07,2026-09-28
P00075,U084,api_keys,false,false,false,false,2023-12-09,2026-03-17
P00076,U026,analytics,true,true,false,false,2024-09-09,2026-12-13
P00077,U041,settings,false,false,false,false,2023-07-01,2026-02-12
P00078,U042,billing,false,false,false,false,2024-08-12,2025-09-06
P00079,U015,api_keys,false,false,false,false,2024-02-07,2026-01-09
P00080,U057,settings,true,true,true,false,2024-12-26,2025-08-03
P00081,U018,settings,true,false,false,false,2024-11-20,2026-05-27
P00082,U058,api_keys,true,true,true,false,2024-01-22,2025-03-17
P00083,U069,exports,false,false,false,false,2024-08-19,2026-02-15
P00084,U047,exports,false,false,false,false,2024-07-10,2025-02-07
P00085,U079,users,true,true,true,false,2023-06-20,2026-10-25
P00086,U014,users,false,false,false,false,2023-12-06,2026-03-17
P00087,U075,api_keys,true,true,true,false,2024-06-15,2026-07-26
P00088,U060,api_keys,true,false,false,false,2024-01-19,2026-02-05
P00089,U054,departments,true,true,true,false,2023-04-18,2025-10-30
P00090,U059,data,true,true,false,false,2023-11-16,2025-12-18
P00091,U013,analytics,false,false,false,false,2023-12-23,2026-05-03
P00092,U039,users,false,false,false,false,2023-11-23,2025-03-10
P00093,U087,reports,true,true,false,false,2024-10-25,2025-04-22
P00094,U060,data,true,true,true,false,2024-07-27,2026-03-13
P00095,U024,billing,false,false,false,false,2024-10-06,2025-07-08
P00096,U026,analytics,false,false,false,false,2023-01-30,2026-09-21
P00097,U091,data,false,false,false,false,2024-02-03,2025-01-05
P00098,U024,logs,true,true,true,false,2023-04-15,2026-07-04
P00099,U015,settings,false,false,false,false,2023-07-21,2026-04-14
P00100,U041,api_keys,false,false,false,false,2024-06-24,2026-10-17
