log_id,user_id,resource,action,timestamp,ip_address,status_code,response_time_ms
L00055,U051,/admin,PATCH,2024-11-09 02:04:19,106.197.105.211,403,201
L00056,U058,/admin,PATCH,2024-03-05 10:41:04,89.33.225.213,500,1179
L00057,U017,/profile,PATCH,2024-11-23 18:11:49,234.223.15.213,200,1111
L00058,U042,/api/data,PUT,2024-03-19 09:10:10,243.241.133.230,400,1782
L00059,U071,/dashboard,POST,2024-02-10 08:12:40,161.78.158.137,200,1079
L00060,U020,/api/reports,PATCH,2024-11-24 05:37:37,185.231.155.87,500,1942
L00061,U004,/api/departments,GET,2024-10-15 01:52:55,243.165.198.148,400,1383
L00062,U082,/api/users,DELETE,2024-04-17 18:26:39,228.161.140.75,404,668
L00063,U088,/profile,PUT,2024-09-04 07:51:51,117.19.177.16,201,950
L00064,U044,/api/exports,POST,2024-07-31 15:29:13,81.221.184.82,404,1812
L00065,U048,/api/analytics,PATCH,2024-06-25 12:08:48,28.82.62.120,200,597
L00066,U007,/dashboard,DELETE,2024-08-18 07:09:06,222.158.108.64,500,1897
L00067,U093,/settings,POST,2024-03-22 10:59:36,196.41.128.255,403,1006
L00068,U012,/profile,PATCH,2024-09-12 09:31:01,118.248.62.56,403,772
L00069,U077,/admin,PUT,2024-01-25 01:18:31,138.3.217.28,401,324
L00070,U052,/settings,GET,2024-05-15 23:23:48,103.14.146.144,201,792
L00071,U065,/admin,PATCH,2024-10-10 09:04:24,72.212.254.160,404,1301
L00072,U048,/settings,PATCH,2024-03-01 04:06:25,241.94.194.37,201,1283
L00073,U006,/api/users,POST,2024-09-17 12:32:02,183.86.206.122,403,985
L00074,U018,/settings,PATCH,2024-03-17 19:57:32,82.42.101.254,403,1564
L00075,U066,/api/analytics,DELETE,2024-06-02 18:21:32,182.145.77.122,500,84
L00076,U054,/api/exports,PUT,2024-07-07 10:43:07,204.231.186.224,404,1338
L00077,U084,/api/exports,PATCH,2024-01-14 19:30:16,59.185.14.150,401,399
L00078,U100,/profile,POST,2024-09-25 20:46:39,211.175.63.9,403,1991
L00079,U057,/settings,DELETE,2024-12-24 03:12:01,39.106.177.53,401,1077
L00080,U095,/api/users,POST,2025-01-31 19:58:30,133.54.144.84,404,1029
L00081,U059,/api/analytics,PUT,2024-09-26 12:20:11,140.91.174.198,500,1526
L00082,U034,/api/exports,DELETE,2024-12-14 20:51:44,50.246.64.72,403,661
L00083,U091,/api/data,DELETE,2024-04-25 09:49:18,82.123.90.144,500,1527
L00084,U087,/api/analytics,DELETE,2024-05-20 09:07:36,230.251.102.210,400,1633
L00085,U092,/api/departments,PUT,2024-03-15 09:02:18,237.114.168.66,404,1031
L00086,U035,/api/analytics,PUT,2024-04-19 06:52:34,36.28.158.190,403,540
L00087,U068,/api/data,POST,2024-05-04 01:42:57,14.26.106.85,404,1017
L00088,U001,/api/analytics,POST,2024-02-21 21:49:08,105.168.240.226,401,1027
L00089,U042,/dashboard,GET,2024-11-29 06:48:18,233.197.23.167,403,525
L00090,U005,/api/reports,DELETE,2024-09-30 23:46:54,226.215.46.240,200,1762
L00091,U096,/dashboard,GET,2024-07-22 15:11:59,3.77.146.155,200,1951
L00092,U070,/api/analytics,DELETE,2024-06-20 09:29:41,228.241.35.218,403,1008
L00093,U043,/api/reports,DELETE,2024-05-19 06:51:07,166.66.184.48,200,1558
L00094,U097,/api/data,POST,2024-06-21 09:36:43,157.220.164.230,401,1743
L00095,U052,/api/departments,POST,2024-08-06 16:20:05,252.36.123.83,201,63
L00096,U097,/dashboard,PUT,2024-05-13 12:15:28,78.150.186.147,200,585
L00097,U008,/api/departments,DELETE,2024-11-30 11:44:15,79.41.104.176,403,1940
L00098,U082,/dashboard,PUT,2024-12-26 09:44:07,158.57.57.246,201,1029
L00099,U048,/profile,PATCH,2024-03-19 14:47:38,234.121.194.138,500,1410
L00100,U077,/api/departments,PATCH,2024-04-21 07:43:48,115.136.181.93,200,1928
